Review_name,Review_Content
La touche magique?,"Paris has just about upheld the good reputation of Disney here it it is very much Le Cousin Pauvre to its USA counterparts. The theming, animateurs, and workforce just as excellent - friendly, talented, welcoming. BUT the magic hour doesn’t work as it should when several major rides all malfunction for several hours, the park turfs guests out for a Halloween party meaning it closes 3 hours earlier than usual and then closes the toilets in several areas way before then too. Not helpful. Its management of large crowds is questionable and one wonders if they’ve heard of crowd crushing at events when you funnel people into one area...
Food at DLP is the antithesis of good French food - any French person would be ashamed. Take lots of snacks in with you!!!
No hot water in most toilet facilities - a real shame and unhygienic; especially in baby change.
Massive queues at busy times but that’s life.
Some great parades, shows and iconic rides but needs some TLC in many areas of the park.
Great to note lots of water fountains & everyone is lovely to kids as you would hope and plenty of child friendly facilities.
Fireworks & illuminations of castle were simply outstanding though - do not miss! Merci pour la magique pour mes enfants, DLP.
MGM - such a shame the theatre that used to have Mickey & the Magician is not in use as no show at the moment."
School trip to Disney,"I hadn’t been to Disneyland Paris for 6 years before I went as a media trip with my college. I was not disappointed and had the most amazing time, even as a 17 year old my inner child came out and I was as excited as any child would be. Lovely food, lovely atmosphere and the rides were worn down but still amazing and I plan to come back very soon!"
You won't be disappointed if you love Disney,"If you love Disney, you have to go. There is some definitely similarities between the classic Disneyland and this park, but there are also some definite differences. I enjoyed the Paris Haunted Mansion for its creepy storyline. Big Thunder seemed longer. The mango whips were delicious.
Please note that people don't speak English nearly as much as you might expect. They're helpful and nice because they're Disney employees, still, and not at all rude.
Pin trading in this park is very different than Disneyland. Very few people wore lanyards and traded. Very few shops had pin boards (or, I was asking very wrong). However, many employees had lanyards and happily traded. Plus, there was a huge area set up with tables full of people trading from books. So, just different."
Disneyppointing,"Very Disappointing visit we had last week, two of us traveling from Spain and only getting 3 days away from work to arrive to this land in which 3 of the main 4 attractions were closed, not even the fast-pass was able to “jump” the 55 minutes waiting cue to get to any other, we did both parks in one day even tho we bought the 2 days-pass....and I don’t recommend to go either to the steak house restaurant, food was served cold and we had to ask 3 different waiters to bring one tiny slice of lemon which had only skin :D Amazing!!!"
Loved it!,"Loved the Dragon under the castle. Every castle should have a dragon. We loved all the rides, cast members, and the ability to see everything. The weather was cool and the crowds were nonexistent. Loved all the Halloween decorations. The only weird thing was that everything was old west for America??"
Hideously busy and way too expensive.,Paid just short of £300 for a day at Disney with our 9 and 7 year olds. It was absolutely heaving so we barely got on anything. I just don't get how they can fill it to what feels like some way beyond capacity and charge a fortune for it. Left a couple of hours early.
Dont Bother Not Quite As Magical As They Say,"Visited Disneyland Paris for Halloween, we were so excited to be going here, after all it's Disneyland, What a let down.
I new it wouldn't be anything like Halloween at Florida, which we have done, but this was a joke.
Not much to say it was Halloween, the show off the day lasted 10 minutes also the one parade of the day.
Most of the good rides closed for reburbishment, or were not working. No Characters walking around. It was queing to see or do anything,
Restaurants most were closed down, and the snack stops closed down at 6pm. No cups to buy, and get free fill ups.
Not to mention there are a few toilets which are dirty, and a few places to sit.
This wasnt the Halloween experience we was looking for, no atmosphere, the staff had no smiles on their face or desire to serve anyone. It was a shambles.
Please dont waste your money, I wouldn't recommend Disneyland Paris to anyone. Save up and go to Florida, and get the real experience."
Magical holiday,"I visited with my partner, 5 year old daughter & 8month old daughter for a 5 night break staying on site in a Disney hotel. We had an amazing time the whole family really enjoyed the Disney experience & the magic of the park & all the experiences. There are lots of rides catering for children and families & staying in a Disney hotel we had the advantage of fast passes. These need to be planned out in advance as the popular rides will book up fast so taking the time to plan your day ahead is well worth it. While we were there it was the jungle jive performance 4 times daily which was excellent. The Disney stars on parade was also good but not as entertaining as the jungle jive. It is well worth booking character dining as meeting characters & princesses in the park will easily cost you a few hours of queueing time per character. There is a huge variety of restaurants & food outlets within the park but lacking in choice for younger diners. Recommend the Peter Pan ride & pirates of the Caribbean. All in all an excellent break & we will definitely be returning."
Amazing,Had so much fun on a 2 day park visit. Have booked to go 3 more times. The experience was amazing and magical every second. Didn't find the queues to bad either.
"Queueseyland, Paris","I am a big Disney fan, and this was probably visit 8 or 9. The thrill of entering the park and walking down Main Street is still as strong as ever.
That said I will never visit during October half term again, as even ‘Magic’ has to be better organised.
I expect queues for rides. They can’t invent extra rides just because it is busy. Due to the Indiana Jones and Aerosmith rides being closed for maintenance, Hyperspace Mountain being unexpectedly closed for 4 out of our 6 days, Big Thunder Mountain and other rides out of action for shorter periods, there was huge pressure on the working rides.
On several occasions the queue time for Big Thunder Mountain was 180 minutes. No ride is worth that length of wait. It is hard for children and even able bodied adults struggle to stand for that period. There are various special arrangements for people with health problems, which, although understandable, inevitably add to the wait for the feet aching masses.
I really think that Disney like queues. It was incredibly busy, so why not open cafe Hyperion for breakfast? We had to go out of the park to the studios for this. We didn’t have vouchers, we paid the full price, and expected more choice. Why where there closed popcorn and snack stalls? The queues for the open ones stretched across pathways and made getting about even more difficult.
We were 5th or 6th in line for ice creams in one of the Main Street shops. It took over 25 minutes! All the staff had to do was put 2 or 3 scoops into a cardboard container. Yes, several people ordered more than one, but at one stage there were 5 members of staff behind the counter. The main qualities that Disney seems to demand of its shop employees are tardiness and sullenness. Several frustrated customers were shouting at the staff about the delays, and how hard can their job be, which was unpleasant for everyone.
The staff on the rides are normally quite good, but why force two of them to stand out in the cold for days on end, answering questions about why the Space mountain ride was closed? They didn’t know! Securely close the ride entrance gates and put up a sign for people to read!
I was lucky enough not to have queued for hours for a ride which then stopped working, but a lot of others were affected.
The fast pass ticket machines were often out of order, causing even more queues, 4 out of 5 were not functioning at the Peter Pan ride. Most of the fast pass tickets had been allocated by midday, unless we were willing to pay a huge extra sum for an unlimited fast pass.
We did manage to get on some of our favourite rides towards the park closing times as the queues had reduced a bit, but by that time we were exhausted.
We had queued well before the start of the 8.30am ‘ magic’ hour to get into the Disney studios. As soon as we got through the turnstile we all ran towards the Crushes Coaster ride, only to be dismayed to see a huge queue already snaking back. The next day we went even earlier, ran faster and still queued for over 40 minutes for the ride. The extra magic hour and special entrance for Annual passport holders do not help as much as you think they will at peak times."
More than I expected!,"It was like a dream this park extends beyond your fantasy! Everything is so beautiful, cleaned and well cared.
1. Book your tickets online one day before and you'll get the cheaper
2. The automated refrigerators were all of them out of function so you have to buy your water too expencive
3. Don.t go on the weekend as it is too crowded
4. get the app so as to see which game has the less crowd and choose wiser were to go next, or to plan your rides
5. On the closing of the night a great ceremony with parade, music, videos and fireworks take place which will take your breath"
Pah!,"Hadn’t been since kids were little- now teens.
Went there with a plan as know what it can be like.
I am a Brit.
I know how to queue- we do it well!
I appreciate the need to queue.
Every ride pretty much 75min waits. fast passes blocked or 2 hours ahead.
One section pretty much closed.
Not impressed.
Lots the will to live by 9pm. We had been there from 10:30.
Managed 6 rides only and a McDonalds.
The allergy advice on the app incorrect- restaurants denied having allergy menus.
The app was hopeless.
Lot of money spent for the frustration of queuing."
Too commercial and too many people,Disney still has it magic however in order to make the business profitable they have cxl most live shows and increased the number of customers so for any attraction you most likely wait one hr or more. Will not go back
Spoiled by queues,"Visited with my adult children. Have been to Disneyland California in 2017, have to say the Paris one is much better. The California site is choked with kiddies’ strollers to the point one cannot even sit down because the seats are hidden behind walls of strollers. And then there are the hundreds of electric disability scooters also choking the walkways - not because the riders are disabled but because they are obese Americans too lazy to walk.
There was none of this at Paris Disneyland - people and children are using their legs much more. Plus, the Paris park is cleaner. The only reason I did not give any more stars was because the queue management is broken. Huge queues on all the rides, and where Fast Track was supposed to be present, it was not.
Even the food venues had huge queues, my daughter waited for 40 MINUTES to buy two croissants. And the food was all way over-priced and poor quality. I know it is an “American-flavoured” park but I had thought the French would have lifted the standards - they did not. So, bring your own food and drinks.
Work on reducing the queues, people.
Kim W, Gippsland, Australia"
Fun weekend!,"On Saturday evening the park was so crowded it was really unpleasant to move anywhere.
There were insufficient places to eat or get anything as the Halloween evening party crowd joined the day trippers and hotel guests.
There were long queues everywhere and very little Disney magic spirit.
The firework and illuminated show was fantastic what little we could see but the kids saw even less being so small.
Sunday was pouring with rain so less people and we were in the park early.
We queued for 45 minutes to see the Disney Princesses and only saw Snow White - our girls were so disappointed - why only 1?
Other rides/ activities were really great especially Ratatouille!
The food in the Disney park is really poor - Annettes Diner - the breakfast, cold food, no atmosphere, short of staff and really shocking as was the food offer Monday morning breakfast at the Brown Derby. Saturday night in Micky cafe - so expensive but at least the children met the characters but the food was very average at €65 per adult and €35 per child.
I really feel that due to the over commercialism of the park it really has lost a lot of its Magic standards of service and hospitality Disney is famous for are definitely not evident in Disneyland France."
My bi-yearly trip,"I love going to Disneyland Paris, it has improved somuch in the years.
Perfect fun for the whole family, magical atmosphere. Few changes needed, though: all stuff should be able to speak English, food and merchandise is dramatically overpriced and queues are way too long."
Where are all the staff - toilets STINK absolutely disgusting,"Are Disneyland Paris having financial problems? Apart from entrance and attractions there are absolutely NO STAFF anywhere. There used to be street sweepers, staff to ask questions and lots of staff In the toilets. Now there are none. Halloween was a nightmare. ALL of The toilets were absolutely vile - Disney you should be ashamed of yourselves.
So many rides kept breaking down Thunder mountain, Pirates, Dumbo, space mountain and more... Queues everywhere, maybe they should limit the amount of people allowed in. Limit their income and give the customer a better experience!! Unfortunately it appears money is the prime motivation above all, sad!"
Standard Disney plus additional rides,"We visited both Disneyland Paris and Disney Studios Park in one day with a park hopper pass; 2 adults and our 2 teenaged children. We enjoyed the experience. We've been to Disneyland in California, and many of the rides are the same/very similar, but we researched in advance and focused on those that were a unique experience Big Thunder, Phantom Manor, Hyperspace Mountain, Alice's Curious Laybrinth). One day is probably not enough to see everything, but by arriving at opening and skipping attractions that we'd experienced elsewhere, we were happy with our experience. We used the (free) FastPass option but not the paid one, and also used the app which gave some information on wait times. Overall we had a great experience and enjoyed our day."
Lacks the magic,"Spent 2 days at Disneyland Paris with friends and our young children. The park is smaller than its American counterparts, but we found it to be a nice size given that we were visiting with little ones. It has all the well-known rides (small world, dumbo, thunder mountain etc.), although a significant number of attractions were closed during our visit.
Despite our overall enjoyment of the two days, several factors detracted from the overall experience. Firstly, although generally the park is well maintained, signs of disrepair are nevertheless present (dirty toilets, peeling paint on the iconic disneyland hotel etc.). Also, the level of smoking that was permitted in the park was ridiculous in this day and age. Although I appreciate that there were designated smoking areas around the park, these were interspersed amongst areas that non-smokers (and their children) may be forced to pass through (e.g. I hated having to pull my preschooler through a cloud of smoke to get to the toilets next to the park entrance). The staff at the park were generally professional, however, there were some exceptions who clearly did not share the Disney spirit (e.g. the employee who yelled at us when we attempted to exit a restaurant through a fire door that had been left open). Finally, it should be noted that the range of mid-range food options was limited, with the counter service restaurants generally serving the same fast food fare. Would have appreciated healthier takeaway options (e.g. a salad bar) to counter all the treats in the park.
All in all we enjoyed our experience of Disney in the heart of Europe, but at the same time do not feel the need to go rushing back"
Magical,"How could you ever get disappointed?
It’s everything you imagine it to be. You get so caught up in the fantasy of getting there that you forget it’s a theme park, with rides, and attractions- which means huge queues! Especially for the popular rides.
Fast track would be worth it if you can afford it. But the most popular rides have queues on fast track too. Some have times when you can use fast track.
Top tip, save your fast track money and spend it on staying at one of the Disney hotels. That way you can access the park 2 hours before the general public. Shorter queues and you can get through quite a few rides.
Be sure to stay for the illuminations show at 10pm. Totally worth it"
Absolute waste time 1hr que times .. Money grabing,"Waste of time going here, Forced to spend extra 100 eutos per day for fast pass tickets as the que times exspensive with 4 kids, massive, ridiculous 1 hr queuing all time.
Expensive ridiculous 15 pound for two cheap hot dogs, 16 pound mini mouse ears head band, everything is so over priced, very greedy disney, Chessington and Paulton Park were better for kids by far. Will not go to disney again."
This is Disneyland,"They know well how to entertain the children and their parents.
All the games are interesting.
Only drawback is the long queue.
I can’t feel my legs from standing.
Their mobile application is great.
They have free fast WI FI.
really thanks Disney."
Simply enchanting,What more could you ask for in this magical wonderland? The whole ambience of the place needed to be experienced in its entirety. Highly recommended for families of all ages - the 6 days whizzed by in no time at all. It is a good idea to do your homework before you get there to maximise what is on offer.
Amazing,"Visited with my partner at the start of October for our anniversary, we had an amazing time, we would like to say a special mention to Javier who helped make it extra special for us on our last day by helping us fill out our autograph book!"
Worse kids attraction ever,"We visited on the 26th of October.i never been any kids attraction this expensive and waiting over 2 hours for each ride. On top of everything many rides were either close or closed down while we were waiting in queue.
I would recommend Disneyland Paris to any friends, and I wouldn’t comeback again all the way from UK. There are much better parks in uk and much much cheaper and better."
Magic for all the family! (Useful tips),"I have read quite a few reviews before writing this, and yes it is busy, and yes there will be queues, but you should be prepared for this in advance - especially if you are going to go during European school holiday times!
The best bit of advice I would give you is to make sure you purchase a fast pass in advance, as this will help you avoid the queues on the major attractions. Also try and buy an early ticket so that you can experience the park for 90 minutes before the official opening hours! That way you can do the more popular non fast pass rides before everyone else can!
If you are planned, you can do the whole park in two full days (08:30 to after the light show at 22:00), during busy times, with ease. We did and we had two kids in prams! And we watched all the shows, parades and light show too...
Yes the food and drink is overpriced, and with long queues, but there is nothing stopping you taking your own food with you and eating it whilst waiting in the queues. That’s also the best use of time.
The park is always clean, so are the toilets, and it’s nice to see separate smoking areas and not happening in the queues.
There were occasions during the week when some of the attractions were shut, but I rather they did this to make sure they were safe for the next time! If you download the app then you can easily keep an eye on what’s open and also how long the queue are too! You’d be really unfortunate if you go for a day and the ride you want is shut all day.
There are 4 areas in the park;
Fantasyland is more designed for the very young, with more old fashioned style of rides and a classic Disney feel. Rides worth going on are the Peter Pan, Labrynth, It’s a Small World and Casey Jr... All suitable for the very young.
Adventureland is small, especially with the Indiana Jones ride out of action at the moment, but the Pirates if the Caribbean log flume is definitely a must go on, especially for a photo, and with fast moving queues.
Frontierland is again small but is all about Big Thunder Mountain, and for us the best ride in the park. Fabulous fast adrenaline. Phantom Manor is ok, a ghost style ride, but if you are going to queue then it has to be for BTM!
My favourite section was definitely Discoveryland which has 3 incredible fast pass rides - The incredibly intense Star Wars Hyperspace Mountain, a rollercoaster in the dark. The fabulous Star Tours which is a simulator and has 3 different permutations - so go on it 3 times! And then the fabulous Buzz Lightyear Laser Blast which is suitable for all the family, and endless fun. And surprisingly addictive as you want to go back to keep improving your score! We loved this zone in the park, and surprisingly not as busy as Fantasyland.
This was my first experience of Disney, and we absolutely loved it. Just be prepared for long days, and queues, but plan what’s important to you and enjoy!"
The rides were great,"We were sharp at the gate at 10:00 hours when they open up but was standing behind a million people maybe. Soon after we entered the park people started rushing towards the rides. It's magical truly, but with so many visitors, the magical part becomes pretty messy. There were separate queues for the disabled, but what for the pregnant? A young pregnant lady kept standing in front of us with two of her kids for an hour maybe. The rides were wonderful though. The Pirates of the Carribean, the Indiana Jones and the temple of doom ride and the mountain ride were the best although there were queues of 1-2 hours for each ride."
Some improvements,Came for second visit after first one in May (to make the most of the annual pass). There seems to be a noticeable improvement in the attitude of staff who seemed much friendlier than before. Also fewer smokers. However the queues were still horrendous and some rides were still shut months later eg the train and a autopia and space mountain was closed most of the week. The food was shocking quality and very overpriced.
Lovely 4 days,"Been to Disneyland Paris 3 x times and have enjoyed every time. Went in the Feb half term and the park was quite busy. Therefore we purchased extra fast passes which was about £25 per person. These can be used anytime during the day. When visiting Disney Paris you really need to arrive the earliest you can to opening time. We did this and managed to ride about 5 rides in the first hour of the parks opening. Again like all Disney Parks it’s expensive here, so be prepared."
Not worth it,"We came here during half term break expecting queues and high prices but was unimpressed with the scale of the queues (1 -2 hours on some rides), extortionate pricing, poor food options and number of rides that are closed. To avoid the queues one day i spent €360 for 4 people on an ultimate fastpass which gets you through the queues quickly on those rides where you can use it otherwise we'd have ended up never doing the rides we wanted or any quantity of rides to make our visit worthwhile. But on the day, half the rides where it should have been valid (as mentioned by others here) were closed, making it a complete rip off.
Food is generally fast food and low quality.
Yes the rides were well run and organised, but would you queue with young children for 1 - 2 hours for a 3-4minute ride?"
RIP off Disney,"Just visited Disneyland.2 main rides not working,queues beyond belief for rides,characters,even toilets.visited years Ago with happy memories,now feel ripped off,dissapointed in what can be fitted in ,in the time you are there.Most staff don’t care,prices have gone mad.My daughter is Vegan and lived on bags of nuts,get real and provide for today’s customers.more and more shops but less happy memories.such a shame."
Please do not waste your hard earned money here!!,"Usually not one to complain but today me and a friend visited Disneyland Paris and it was an absolute abomination. 5 of the main rides were shut which lead to the other rides having waiting times of over 2 hours. We paid £73 for our tickets from attractiontix which is cheaper than the €90 you would pay on the day and I am shocked at how little you get for your money. There was no “Disney magic” but a lot of miserable staff walking around, the place was run down and looked tired - when we tried to complain at the end of the day we were told to join a queue (there were around 100 people already in the queue). Please please please do not waste your hard earned money on this place!!
The people I feel for the most are families who save up to come on a special holiday here and this is what they end up with. Really sad and shouldn’t be allowed to continue to charge the prices they do when you could have a much better day good for much less."
"Terrible, too busy, long waits","You expect to queue at Disney but this has got ridiculous. We have been before and spent normally over 60 minutes to do anything. That was also in terrible weather. We were thinking of coming back for a birthday but will definitely not now.
AVOID"
Disney not at its best,"Shame that when French and English half terms coincide many of the Disneyland attractions are closed, including hyperspace mountain, generating huge queues on the rides that are open.
Trying their best with the parades but papering over the cracks big style. Even the riverboat is up the proverbial creek."
"Wonderful place, just poorly operated","Disneyland Paris needs to upgrade its queue time technology, fast pass system and general management of operations. This really affects the efficiency of rides and what people can do at the park.
When busy, this place is tough going - queues build up and don't drop due to the slowness of staff to unload/reload rides.
Informal eateries are terribly slow, and there's not much value to be had when buying snacks or food.
All-in-all it just isn't as good as what you experience in Florida.
But - it is still a great place for families to have fun and see & do lots."
Rides are closed,Be careful what time of year you go. Several rides are closed for refurbishment whilst Space Mountain has been closed now for 3 days because its.... 'broken' Sorry but why doesnt Disney close for a couple of weeks say January to do this refurbishment work.It puts even more pressure on the long queues. Effectively we are getting less value for our money but they don't care because we're all just cash cows.
RUDE Staff!,"Extremely disappointing visit with my disabled daughter!
Abrupt staff with poor English.
Captain Hook actually refused to have a photo with my daughter, we waited our tune in the queue and when it was her turn he turned to the smaller children behind us. We waited again and I took my daughter forward again, he turned his back!
I complained to the three staff members that were close by and they just shrugged and did absolutely nothing.
Love Disney but it is ruined by the French rudeness!
Fourth time we have returned and it was same old. Will save up for Florida as this is not a representation of the true Disney magic!
Despite the wonder fairytale look of the park it is spoilt by ignorance!"
Very nice,"We had wonderful time, it’s really excellent place to visit with your family a lot of fun, action everything is very good, my kids were very happy with the park. At the evening the great show. It’s great place to be visited"
Second Visit,"Visited for a second time and a day longer than before. The park and rides are amazing and deserve five stars. However, overall the experience is too expensive, too much time spent queuing for rides even with fast pass tickets. Food prices in the park are horrendous. The park staff are mostly friendly and helpful but the staff in the shops are the exact opposite. They are rude, disinterested in offering any service and make it abundantly clear that it is an inconvenience to them to have to look for anything in the stock room. Their standard reply is no they don’t have it despite being told the entire range was on display the day before. Customer service training definitely required here. Enjoy the park and the rides, take a picnic with you and be prepared for poor service in the shops."
Picture Perfect,What a beautiful place to celebrate my daughter sweet 16! We have been to Disney in Florida and California and this is our favorite so far. The castle was definitely larger and nicer.. and so we the fireworks. Please keep in mind we visited all three parks within one year . Found that the decor throughout this park was a lot nicer than their counterparts in the US. Also having gone to Disney at Halloween numerous times in the US found the decorations in Paris a lot nicer as well. Also noticed a lot of small differences between similar attractions at this park than the others as far as the layout and the length of the actual attraction. there were definitely some differences. There were less attractions at this park. But the price was also less at this park then the US Disney parks. Loved that this park was accessible to public transportation. 10 minute train ride from airport!! Train literally drops you at front gate of park!!
Amazing place,"We often goes here with my family. Children like Disney most of all, that is favorite place. Especially they like the parade of Disney characters. If go there you will definitely get lots of positive emotions. Recommend."
Happiness,Make sure to drop into Disneyland whilst in Paris. Grab the double park pass and get there early! Plenty of activities and rides even for big kids like myself and my hubby.
Amazing,"This was my first to europe and i visited disneyland park paris and walt disney studio
The day you visit if its raining do not forget umbrella.i bought ponch(plastic rain cost)
Worth 11€.
Must see attarctions and rides
Disney park
Pirates and carribean
Phantom
Big thunder
Walt studio
Behind the magic
Terror of tower
Crush coaster(not for weak heart peoples) very long que
If u are smoker
Have smoking area inside"
Parades and characters the highlights,"We visited with our 2 year old, who absolutely loved the character parades and meet and greets. The parades are Disney at its best and the best way to see all the characters. The lines for meet and greets are long as there's a sneaky app called LineBerty you can use to queue jump which is a bit secretive and sells out fast. The majority of the food is low quality, fast food and it is hard to eat healthy so try and plan this ahead. Worth getting meal deals and photo passes if you can. Disappointed that modern Disney like Frozen, Moana etc is shelved in favour of now very dated Pinocchio, Pan etc. Evening light show on the castle is superb."
Our worst Disney experience,The park is beautiful in its design and landscaping. However it is a small park in comparison to others. The issue my wife and I had was with a guest relations employee ( male of non French ancestry) who was not professional in his customer service abilities and not friendly towards Americans. We had employee e-tickets and had to go through customer service to get tickets as they would not work the way they were supposed too as they did for us in Shanghai China Disneyland. The male employee was disrespectful and hateful in his demeanor. He would not adequately answer my questions or take my phone to download the tickets to print or help me through the process. Yet we watched as he took the phone from the person behind me. I finally found a helpful and sincere female employee who cleared everything up and gave us the service you come to know from Disney. This female employee actually worked at Disney World before Disneyland Paris and was a credit to all that Disney is. We met another American couple in the park who told us they had been experiencing prejudice towards them with some employees of establishments around Paris when they figured out they were Americans. This issue with the employee cost us over an hour of precious time
Disney fun a la Paris!,"You know you're in Disney as it has the same feel, but is smaller than other parks and more cozy. We actually liked the feel. Some unique attractions and experiences that we want to experience again."
No coffee,Why is there nowhere to get a cup of coffee or tea on the park when you arrive early? Have spent over thirty minutes to find somewhere that is open or where hot drinks are served.
Average,"This is a place where you go to buy. It was built for this particular purpose. Nothing fancy about it. Worsestill, you might starve as by 5 pm you might suddenly find that all restaurants are fully booked and if you have kids, it is better to bring some sandwiches just to stay waiting for the closure which is the main event. This closure starts at 11 pm and last train where thousands of people are going to use leaves at midnight. So you have to run or not enjoying the full show. Why at this late time, I have nooooooooo Idea.
Moreover. your kids whether using the ordinary pass or the fast past won't enjoy more than 2-3 games.
One of the confusing things about this tourist attraction is that we saw Winnie the Pooh and since my kids love him, we wanted to take photo with him but Alas, For a strange reason, Disney decided that only one employee wear the Pooh costume and people have to book early to take photo with him. Comeon, you need to bring someone else to do the same instead of depriving kids coming overseas from taking this photo. The rest of characters like the Great Mickey is also the same. We were able to take a photo with the Arthur Sward and the Beans Giant Tree. Thanks God they don't move or need actor or actress with them because Disney might not be able to afford that."
Wonderful experience,"I am Disney fan and take every opportunity to visit their theme parks and I went to Disneyland Paris on the last day of my vacation and I was very pleased with the attractions shorter lines, food inside the theme parks were really good so I would definitely come back on my next Paris visit."
Magical,"We visited here early October. This place is fab with lots to see and do. A very busy place, but queuing wasn't too bad as we went when children were still at school. We stayed in the Sequoia Lodge Hotel, which we were also impressed with. Just take plenty of spending money, food and drink is not cheap. And there are endless Disney and Souvenir shops!"
Way to busy,"Had two days here in October. Must say very very disappointed.
Spent most of the days queuing to get my 3 yr old daughter on rides. Did 3 rides per day so this works out to be very very expensive.
The park was very busy and I believe Disney should put a cap on the amount of people allowed in per day.
To top it all off everything else inside was very expensive too. BEar in mind my wife and I paid over £200 to get in per day then had to pay 25€ to hire a pushchair. Disgraceful. Food is poor quality and again very expensive.
Disney is a greedy company if you ask me"
Back again,"It’s had to resist coming back here because the memories you make here are as special as this place is
This time was our last time to visit the studio park before the marvel land opens
Rock n roller coaster was great fun & glad i had the chance to ride it again
Am sure ironman retheme be great"
Best time ever !,"This was our second Disney visit after Hong Kong. It was just great, my eight year old son kept going till he was really tried by the end of the day. The rides are good. The parade is awesome. We saw few shows on the occasion of Halloween."
Best time ever.,We visited for my sons 5th birthday and he had the best time. Every cast member we came across were lovely and all wished him a happy birthday. We had 2 days of really bad rain but this didn’t spoil things. We went Monday-thurs and glad it wasn’t a weekend as come Thursday the park was rammed. Parades amazing. We got drinks and snacks from train station before we went into park as drinks etc are ridiculous expensive. We will return in a few years when the avengers hotel and rides are all set up.
Magical weekend despite the rain,"The Parc was beautifully decorated with a Halloween theme. You need to be prepared for long waiting lines and high prices, but it is a magical experience. Glad to have been once. I especially liked the show with the villains."
Amazing trip for grown-ups too!,"Just got back from 3 days at Disneyland paris. Having been before i knew the layout of the park relatively well. I do have a few tips to help minimize your queuing time, as with any disney park (or even theme park) make sure you are prepared and take advantage of fast pass. You really do get sucked into the disney magic while there, especially on a quieter day.
It was Halloween season, and the park was decorated beautifully. We had an amazing time, went on big thunder 5 or 6 times and space mountain 4 or 5 times. PoTC and PM had short queues. Buzz had a short queue at the start of the day, we tried to shoot the badge in the middle of Zurg's chest to win the maximum points but no luck.
We really enjoyed the new Halloween show with Ursula, although i wish more villains were out for meet and greets, only maleficent and the non-face characters like queen of hearts and Jafar were meeting people.
The negatives were mainly around other guests. These included: a man filming the parade in front of my face and knocking my ears off in the process, he ran off in embarrassment, people pushing to get in front of you if you left 2cm of a gap, 12 year old girls screaming at full volume throughout a ride, and people expecting you to let them and their children push in front to see the parade/shows- i witness a woman be asked by a family if she could move and let them all go in front and she said no, they still kept trying to push past regardless, you really have to stand your ground lol.
Another gripe which is mainly people writing reviews is that some people feel that children are more entitled to have fun than adults. We all paid our money to come, we all are entitled to meet characters or go on slower rides like snow white or its a small world. We can all have fun, grown ups and kids alike. Reading reviews where people are called 'freaks' for wanting to do so is quite disgusting and they need to give their heads a wobble. Anyway, back on to my advice for getting the most out of your day.
TIPS
- Fastpass is your friend! Big thunder mountain had a 60 minute queue, but the fast past allowed us to come back an hour later and queue for 10 mins or less. You get a 30 minute slot, and its free for everyone, just scan your ticket.
- Staying in a disney hotel gets you access to Extra Magic Hours.You can enter the parks from 8am, with rides opening at 8.30. If nothing else i'd recommend getting in before 10 as thats when the general public arrive and the park gets much busier.
-Depending on the time of year, you should pick your position for the parade and illuminations half an hour before. If its peak time then an hour or more could be necessary. I stood at the rope just behind the disabled area on the left hand side near the castle, and i got the best views there. Other options include in front of flower beds. Note that people often put kids on their shouders which can make the place you've waited so long for not so great, so choose wisely. For the parade, the row of shops by main street is the busiest. Note that for the parade and illuminations you'll likely get kids trying to push past your legs to get in front, adults doing the same, people using your shoulder as a tripod to film, someone holding their phone in front of your face to film, etc. Just enjoy the moment guys, its on youtube if you want to watch it back...
- dress up or disneybound! Dress your kids up for the best interaction, and do disneybounding as an adult if you can. If not, then wearing a themed t shirt or ears at least will get you noticed by the characters and makes them smile! I was bounding as Rapunzel and i got amazing interaction in the parade, including the lost boys making fun of being a princess making a queen like wave haha and Gaston winked at me at the villains show.
-Book restaurants in advance, places got very busy and at table service restaurants its unlikely you'll get a table turning up. This is especially for auberge de cendrillon, captain jack's, plaza gardens, inventions etc. You can book online now too.
- Auberge de cendrillon is your best bet to meet princesses! To avoid the 1 hour or more wait, book a breakfast or lunch there.
-Download lineberty and be ready at 9.45 to book meet and greet slots! They usually go in 10 minutes.
-Bring snacks!
-check the crowd calendar before you book, to see how busy it'll be. This is available online."
Awesome place.,Try to visit in Summers or on a sunny day. crowded so reach early. stay at nearest hotels. explore all rides.
excellent stay,kids had a fantastic time even when it rains the magic stays. Second time we have been and it never disappoints
Fantabulous place for every age!!,"Me and my wife visited this place during winters, which is the best time to avail all rides and also finish both the parks without any long queues, only drawback was that it was tooooo cold. The closing show (fireworks and projection) was jaw dropping!!"
Special trip,"A very special place to visit with family and friends. It’s a wonderful way to create memories for the younger family members, something they will never forget. It’s not cheap and I’ve No complaints, except a lot of the rides were unavailable during the visit. We queued for 40 mins for one ride only for it to breakdown and close, and very little information passed to the public.
All in we had a great time and will come back again in the future."
It's a magical place.,"So we stayed at the Disney hotel and got a package with half board. This means you get each day entry even if you can't check into your room , you can go into Disney. It gives you free parking, early entry one lunch and one dinner in Disney, now make sure you book most places get full quick. The place was great, you just feel like a big kid walking in. Things are not cheep when you look at the price and convert it to you own money (Australian) but don't think about it, just do it. (Think.if you got to Queensland it works out about the same.) There are heaps of ride and shows plenty of characters walking around. Things for all ages. Loved it and will.go back."
